imdbID,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Runtime,Title,Type,Website,Writer,Year,gemini_summary,imdbRating,imdbVotes
tt0100669,N/A,N/A,N/A,Switzerland,N/A,Christian Davi,Short,German,N/A,N/A,N/A,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5 min,Spiderman,movie,N/A,N/A,1990,,5.6,97
tt1132238,N/A,N/A,N/A,USA,N/A,N/A,"Documentary, Short",English,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNTI3NDE1ZmEtMTRiMS00YTY4LTk0OGItNjY4YmI0MDM4OGM4XkEyXkFqcGdeQXVyODE2NDgwMzM@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",30 Oct 2007,19 min,"Fighting, Flying and Driving: The Stunts of Spiderman 3",movie,N/A,N/A,2007,,6.2,19
tt9146610,"Addison Kilgore, Seth, Tilted Cannonz",N/A,N/A,United States,N/A,Addison Kilgore,Comedy,English,N/A,Discount Spiderman is back with the help of Tim White and Bot Bot. The weird group of estranged heroes must stop and defeat T before he can kill any more innocent and useless people.,https://m.media-amazon.com/images/M/MV5BY2U4NjY2YTQtZDFiYS00YTk2LTk5NDItMWVlNmIwZjYyZmE5XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,[],17 Oct 2018,52 min,Discount Spiderman 2,movie,N/A,"Addison Kilgore, Seth",2018,,N/A,8
tt4154756,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",Nominated for 1 Oscar. 48 wins & 81 nominations total,"$678,815,482","United States, Norway",N/A,"Anthony Russo, Joe Russo","Action, Adventure, Sci-Fi",English,68,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",27 Apr 2018,149 min,Avengers: Infinity War,movie,N/A,"Christopher Markus, Stephen McFeely, Stan Lee",2018,,8.4,"1,285,927"
tt5978586,Christophe Didillon,N/A,N/A,Latvia,N/A,Alexander Hahn,Short,N/A,N/A,The German artist Christophe Didillon established at the Cannes Film Festival an art project for kids suffering from cancer.,https://m.media-amazon.com/images/M/MV5BZjc4MDYyMWQtNjM5MS00NzQxLTg5MTktMjI1MTVmNDNmNTA4XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",09 Oct 2016,13 min,Spiderman in Cannes,movie,N/A,Alex Cock,2016,,7.8,32
tt2705436,"David Ashby, Chris Asimos, Anna Cashman",N/A,N/A,Australia,N/A,Dario Russo,"Short, Action, Comedy","English, Italian",N/A,"When an otherworldly substance with amazing cloning properties falls into the hands of the evil criminal mastermind, Captain Maximum, only the extreme powers of the Italian Spiderman can save the world.",https://m.media-amazon.com/images/M/MV5BYWNiMmNlNmQtZTI2MS00MzAxLTgxM2QtNDY3ZGQxNDMwZDgzXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",08 Nov 2007,40 min,Italian Spiderman,movie,N/A,"Dario Russo, David Ashby, Tait Wilson",2007,,7.8,"1,280"
tt18351128,"Marcelo Alessandrini Acosta, Iván Alejandro Cuéllar Avilés, Paul Mocencahua Badillo",N/A,N/A,United States,N/A,Vicente Canales,Sci-Fi,Spanish,N/A,The extended version of 2014's The Amazing Spider-Man 2. Includes never before seen footage and alternate takes of the movie.,https://m.media-amazon.com/images/M/MV5BNzI0MmQyMzYtZDAzNi00ZWZiLWFjMTgtNzQwOTRjYTFlM2Y3XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,[],30 Nov 2021,N/A,The Amazing Spiderman 2 Webb Cut,movie,N/A,"Jesús Alanís, Alexander Castro Santisteban, M. Lopez",2021,,N/A,62
tt0145487,"Tobey Maguire, Kirsten Dunst, Willem Dafoe",Nominated for 2 Oscars. 17 wins & 65 nominations total,"$407,774,549",United States,N/A,Sam Raimi,"Action, Adventure, Sci-Fi",English,73,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",https://m.media-amazon.com/images/M/MV5BZWM0OWVmNTEtNWVkOS00MzgyLTkyMzgtMmE2ZTZiNjY4MmFiXkEyXkFqcGc@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",03 May 2002,121 min,Spider-Man,movie,N/A,"Stan Lee, Steve Ditko, David Koepp",2002,,7.4,"920,686"
tt2250912,"Tom Holland, Michael Keaton, Robert Downey Jr.",8 wins & 10 nominations total,"$334,952,829",United States,N/A,Jon Watts,"Action, Adventure, Sci-Fi","English, Spanish",73,Peter Parker tries to stop Adrian 'The Vulture' Toomes from selling weapons made with advanced Chitauri technology while trying to balance his life as an ordinary high school student.,https://m.media-amazon.com/images/M/MV5BODY2MTAzOTQ4M15BMl5BanBnXkFtZTgwNzg5MTE0MjI@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",07 Jul 2017,133 min,Spider-Man: Homecoming,movie,N/A,"Jonathan Goldstein, John Francis Daley, Jon Watts",2017,,7.4,"754,126"
tt6320628,"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal",11 wins & 26 nominations total,"$391,283,774","United States, Czech Republic, Australia, Canada, Italy",N/A,Jon Watts,"Action, Adventure, Comedy","English, Italian, Czech",69,"Peter Parker, the beloved superhero Spider-Man, faces four destructive elemental monsters while on holiday in Europe. Soon, he receives help from Mysterio, a fellow hero with mysterious origins.",https://m.media-amazon.com/images/M/MV5BMzNhNTE0NWQtN2E1Ny00NjcwLTg1YTctMGY1NmMwODJmY2NmXkEyXkFqcGc@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",02 Jul 2019,129 min,Spider-Man: Far from Home,movie,N/A,"Chris McKenna, Erik Sommers, Stan Lee",2019,,7.4,"593,393"
tt10872600,"Tom Holland, Zendaya, Benedict Cumberbatch",Nominated for 1 Oscar. 35 wins & 71 nominations total,"$814,866,759",United States,N/A,Jon Watts,"Action, Adventure, Fantasy","English, Tagalog",71,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",https://m.media-amazon.com/images/M/MV5BMmFiZGZjMmEtMTA0Ni00MzA2LTljMTYtZGI2MGJmZWYzZTQ2XkEyXkFqcGc@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",17 Dec 2021,148 min,Spider-Man: No Way Home,movie,N/A,"Chris McKenna, Erik Sommers, Stan Lee",2021,,8.2,"939,737"
